Fecha,Banco,Beneficiario,Cuenta,Id_ATM,Importe,Saldo,folio,tipo
2017-03-08,Bancomer,Liz,870619003267,D100,790.0,10586.517123892507,99558,7
2017-07-23,Banorte,Pedro,403395834262,D100,460.0,9086.491014037778,46871,7
2017-08-06,Bancomer,Pedro,646719989489,D100,180.0,6817.6970785954,31097,7
2017-08-16,Banamex,Pedro,481625347913,D100,480.0,10350.67274960605,62349,7
2017-08-16,Santander,Angelica,802915295003,D100,700.0,10264.522541387341,92528,7
2017-06-26,Banorte,Omar,870534951421,D100,90.0,13645.50504804511,70485,7
2017-08-06,Banorte,Pedro,560897880915,D100,1010.0,10177.622559760955,84435,7
2017-03-26,Santander,Max,125851757485,D100,1730.0,14798.272694956722,37324,7
2017-11-10,Banamex,Angelica,802915295003,D100,1360.0,5275.325744758154,51321,7
2017-09-09,Santander,Jose,840103597477,D100,720.0,7509.656301132372,44416,7
2017-08-16,Bancomer,Max,400880207676,D100,260.0,8839.421172167262,68527,7
2017-05-22,Banorte,Pedro,338108958110,D100,650.0,11635.397165558948,34885,7
2017-05-01,Banamex,Jose,411441659006,D100,200.0,9800.883912215399,15757,7
2017-04-10,Banamex,Liz,168784238021,D100,1550.0,11691.285698549693,20725,7
2017-08-16,Santander,Max,310576676923,D100,1490.0,10753.189928456617,92904,7
2017-07-11,Banamex,Maria,744575684071,D100,470.0,7336.561008310319,59256,7
2017-04-10,Bancomer,Omar,389568534625,D100,450.0,9493.515994891462,44881,7
2017-07-21,Santander,Pedro,477704040230,D100,2070.0,14341.639849201096,25981,7
2017-07-24,Bancomer,Paco,559006162656,D100,170.0,14495.819570511461,95850,7
2017-07-12,Banorte,Max,154118439232,D100,830.0,5802.73047396049,30496,7
2017-05-12,Santander,Paco,780662348592,D100,430.0,12313.420909395101,55038,7
2017-09-25,Banamex,Liz,789679477567,D100,410.0,5234.325715820991,98924,7
2017-08-07,Bancomer,David,410025029558,D100,540.0,7390.839230072889,72607,7
2017-03-25,Banamex,Omar,818200456557,D100,600.0,7644.195426541392,37446,7
2017-11-11,Banamex,Max,727145428794,D100,650.0,12782.332701500543,41170,7
2017-09-19,Santander,Angelica,587425143276,D100,1480.0,5825.431596392171,88324,7
2017-04-21,Santander,Omar,516460926376,D100,650.0,11047.91622856607,78957,7
2017-10-21,Banamex,David,548093693126,D100,1310.0,4359.570178495935,75233,7
2017-03-28,Banamex,Max,411441659006,D100,440.0,9926.586438620361,67795,7
2017-11-18,Banorte,Jose,885924788568,D100,730.0,10969.670953458193,10390,7
2017-11-20,Santander,Maria,637637386546,D100,2540.0,14190.804584974265,54659,7
2017-07-26,Banamex,Paco,179471115747,D100,1040.0,6810.943831182525,19900,7
2017-08-27,Bancomer,Liz,625524912233,D100,1710.0,13932.086169489106,35036,7
2017-03-29,Bancomer,Liz,258254235554,D100,1710.0,13599.24812978736,12409,7
2017-11-07,Santander,Angelica,548093693126,D100,1790.0,11355.333444932356,17052,7
2017-05-05,Santander,Liz,714949644287,D100,1060.0,4609.139746846755,24503,7
2017-04-01,Santander,David,815959834714,D100,520.0,9097.24762073247,68623,7
2017-08-22,Santander,Jose,193388171054,D100,110.0,11507.915739134538,70791,7
2017-05-26,Banamex,Paco,701328776059,D100,750.0,7128.875657516701,57170,7
2017-05-25,Bancomer,Liz,353394507437,D100,400.0,9906.576519209468,20029,7
2017-03-22,Banamex,Maria,590743212950,D100,250.0,10117.729335396776,89551,7
2017-04-10,Banorte,Max,149220853031,D100,280.0,6241.527741473651,33709,7
2017-04-08,Bancomer,Jose,315755152916,D100,180.0,7129.251742183323,58732,7
2017-10-27,Santander,Maria,130128273314,D100,260.0,9560.960087591411,21356,7
2017-07-20,Bancomer,Liz,759005355244,D100,1640.0,11384.912315606482,34753,7
2017-09-17,Santander,Angelica,406401970277,D100,1100.0,3218.6952556276974,27891,7
2017-04-02,Banamex,Liz,179471115747,D100,110.0,5504.401764086682,69301,7
2017-05-01,Banorte,Max,651303508790,D100,370.0,11571.945651502909,60879,7
2017-04-04,Banamex,Paco,836534095129,D100,760.0,12690.98936138198,29858,7
2017-03-16,Santander,Maria,292681285898,D100,1380.0,11273.942468286557,45150,7
2017-07-24,Bancomer,Omar,198327425326,D100,1260.0,6567.998402797553,69495,7
2017-06-10,Bancomer,Max,272713872474,D100,960.0,11436.288670605823,32587,7
2017-05-09,Banamex,Omar,364386409092,D100,660.0,10998.475201961232,17671,7
2017-07-22,Banamex,Jose,818200456557,D100,760.0,12216.996900536893,92477,7
2017-11-15,Banamex,Maria,836110387078,D100,740.0,3567.5060994439336,61724,7
2017-03-23,Bancomer,Paco,359319207891,D100,560.0,5646.145424377923,70021,7
2017-10-27,Banamex,Liz,505534540266,D100,170.0,10490.4416097032,37461,7
2017-11-19,Santander,Paco,559006162656,D100,740.0,6545.99883826478,57757,7
2017-09-12,Banamex,Max,385952130962,D100,360.0,4098.459127942541,20856,7
2017-08-25,Bancomer,Maria,343679899048,D100,110.0,14217.97407412583,19455,7
2017-03-04,Banamex,David,883436423273,D100,860.0,13266.932292364683,59135,7
2017-06-01,Bancomer,Omar,766966054611,D100,830.0,12226.43280834184,42427,7
2017-09-28,Santander,Maria,766966054611,D100,630.0,3395.738704245476,49521,7
2017-09-08,Banamex,David,268434918840,D100,2140.0,5799.604420383535,63567,7
2017-05-20,Banamex,Omar,548093693126,D100,700.0,6447.916973201469,76742,7
2017-06-25,Bancomer,Pedro,527368606963,D100,2730.0,10868.114076735052,67032,7
2017-10-22,Banamex,Jose,682823049265,D100,460.0,4582.8217527540355,89644,7
2017-06-03,Banamex,Pedro,692863413201,D100,690.0,14604.976420419353,33590,7
2017-03-25,Bancomer,Maria,266823957904,D100,330.0,6113.747411811599,30828,7
2017-06-16,Santander,Jose,335779189597,D100,270.0,6424.574549715656,56122,7
2017-07-07,Bancomer,Max,332226991064,D100,210.0,6461.379277772234,34380,7
2017-10-06,Santander,Maria,755260535548,D100,1980.0,7824.25579877103,56954,7
2017-07-18,Santander,Maria,389662662370,D100,470.0,3668.778490961653,10215,7
2017-05-27,Banorte,Pedro,818193914631,D100,380.0,4108.342517454633,33287,7
2017-08-15,Banorte,Angelica,185336260240,D100,2260.0,14440.774884387049,46201,7
2017-03-06,Bancomer,Maria,641886347576,D100,1240.0,3633.293083415291,32873,7
2017-09-25,Bancomer,Pedro,215497621431,D100,770.0,12720.427541381365,53511,7
2017-07-08,Bancomer,Maria,505534540266,D100,620.0,10358.936128355508,89445,7
2017-04-22,Santander,Pedro,585791689097,D100,150.0,5910.965796983133,49146,7
2017-04-20,Banamex,Paco,120023086458,D100,540.0,4730.9142830912,92008,7
2017-05-10,Santander,Angelica,353394507437,D100,100.0,4942.492579752548,93887,7
2017-08-22,Banamex,Paco,692863413201,D100,2030.0,3079.0934545472746,94543,7
2017-10-29,Banorte,Liz,364717412705,D100,200.0,13593.09756583358,16105,7
2017-05-15,Banorte,Liz,802915295003,D100,420.0,10172.362013762307,95735,7
2017-11-08,Bancomer,Max,320488099043,D100,30.0,9674.980469133747,66142,7
2017-11-01,Bancomer,Maria,438238106516,D100,2030.0,7836.693698376642,58866,7
2017-03-11,Santander,Pedro,625524912233,D100,70.0,7043.266206000044,39295,7
2017-03-09,Santander,Liz,780662348592,D100,700.0,4848.799059652272,59247,7
2017-11-28,Bancomer,Omar,272335507643,D100,1200.0,4097.225647145076,59941,7
2017-11-06,Banamex,David,120023086458,D100,310.0,7674.235322367002,41136,7
2017-07-21,Banorte,Paco,609522984428,D100,1100.0,8456.9053396298,39647,7
2017-09-29,Santander,Max,429070791836,D100,240.0,14749.448176048545,11293,7
2017-04-03,Bancomer,Jose,470631993956,D100,540.0,7139.278713809874,29277,7
2017-10-14,Bancomer,Angelica,215497621431,D100,790.0,6564.101539492216,40983,7
2017-08-05,Banamex,Angelica,548093693126,D100,1120.0,9859.496240459464,22913,7
2017-05-23,Bancomer,Pedro,559006162656,D100,1480.0,5943.925653256945,55531,7
2017-06-19,Banorte,Paco,836591024994,D100,1630.0,3069.1150502478504,90885,7
2017-04-21,Bancomer,Paco,116974924936,D100,220.0,13364.236636837824,17534,7
2017-07-09,Bancomer,Angelica,149083983868,D100,1270.0,3263.78083446039,87754,7
2017-11-21,Banamex,Max,692863413201,D100,420.0,8358.19639100456,74701,7
2017-05-26,Santander,Pedro,410025029558,D100,1930.0,5918.626445049416,10277,7
2017-06-26,Santander,Pedro,653721555384,D100,200.0,7831.34465817857,90946,7
2017-09-10,Banorte,Liz,730373604510,D100,510.0,14490.808708355371,29232,7
2017-08-15,Bancomer,Angelica,190768234063,D100,1510.0,7533.2099784494,10088,7
2017-05-17,Banamex,Angelica,836110387078,D100,910.0,7837.9308621689415,80129,7
2017-06-18,Banorte,Liz,789679477567,D100,1350.0,6998.786555854019,68211,7
2017-03-14,Banorte,Maria,560480977939,D100,920.0,10906.593297067648,45431,7
